"id","mum","dad","p","FPID","O_Terr"
1728,"639","1610",1,40,101.1
1729,"604","1221",1,40,33
1730,"1612","1199",0.888,40,102
1731,"1701","1566",1,41,6
1732,NA,"544",1,41,103.1
1733,"840","1187",1,41,15
1734,"1735","1381",1,41,73
1735,"1190","917",0.906,40,82.1
1736,"1218","1542",1,41,26
1737,"1598",NA,0.717,41,82
1738,"862","1579",1,41,60.1
1739,"932","1557",0.999,41,37
1740,"930","1485",1,40,7
1741,"1559","1031",1,41,51.2
1742,"1510","1542",0.999,41,78
1743,"1415","1666",1,41,28.1
1744,NA,"1577",0.998,40,43
1745,"1369","1504",1,40,43
1746,"949","1540",1,41,41
1747,"826","1590",1,41,33.1
1748,"932","921",0.999,41,37
1749,"1674","1029",1,41,30.2
1750,"1362","1187",0.996,41,4
1751,"845","1276",1,40,93
1752,"1200","1553",1,41,34.5
1753,"1244","1188",1,41,50
1754,"1355","1234",1,40,53
1755,"1247","1020",1,41,17
1756,"1244","1178",0.985,40,50
1757,NA,NA,0.459,40,41.1
1758,"1757","1523",1,41,41.1
1759,"522","1360",1,40,58
1760,"1380","602",1,40,84
1761,"1186","921",0.999,41,50.1
1762,"927","501",1,41,1.1
1763,"1152","1349",0.999,41,12
1764,"1222","1684",1,30,29
1765,"628","1358",1,41,52
1766,"1415","1666",0.995,30,28.1
1767,"930","1485",1,41,7
1768,"1361","1590",0.999,30,35
1769,"1024","1412",1,30,87
1770,"1024","1412",0.993,30,87
1771,"925","1020",1,40,2
1772,NA,NA,0.335,30,15
1773,"1186","1184",1,41,50.1
1774,"1501","507",0.998,41,22
1775,"458","499",1,41,9
1776,"1510","1542",0.999,41,78
1777,"1017","1018",1,30,77
1778,"951","1196",1,41,59.1
1779,"1387","1670",1,41,87.1
1780,"1491","1356",1,41,57.1
1781,NA,"1579",0.994,41,117
1782,"1193","1553",0.44,41,48
1783,"1305","1595",1,30,47
1784,"1380","1395",0.989,41,84
1785,"1155","453",1,41,112
1786,"1538","1539",1,41,45
1787,"503","1184",0.931,41,25
1788,"1401","1551",0.995,41,85
1789,NA,NA,0.633,41,101
1790,"1403","1533",1,41,69
1791,"1172","544",1,41,94.1
1793,"1275","1610",1,41,96
1794,"1382","1677",1,41,92
1795,NA,"1165",0.712,41,16
1796,"1437","1196",1,41,59
1797,"1195",NA,0.775,41,63
1798,"1588","1581",1,30,92.1
1799,"869","1188",0.996,41,48
1800,"1193","1495",1,41,48
1801,"845","1276",1,41,93
1802,"524","1578",0.625,41,114
1803,"1580","1040",0.975,41,76
1804,"1532","911",1,30,3
1805,"1193","1590",0.997,30,33.1
1806,"1597","1587",1,30,94
1807,"1271","1593",1,41,111
1808,"1403","849",1,30,69
1819,"1355","1802",0.941,30,53
1820,"1700","1221",1,30,50.1
1821,"1172","1171",1,41,94.1
1822,"938","1381",1,41,95
1823,"1172","1171",1,41,94.1
1824,"1419","1287",0.997,30,16
1825,"1506","1500",1,30,19
1826,"1536","1787",1,30,26.5
1827,"1563","1572",1,41,44
1828,"1508","1754",1,30,54
1829,"1190","1489",1,30,82.1
1830,"1271","1395",1,30,111
1831,"1757","1523",1,30,41.1
1832,NA,"1018",0.377,30,117
1833,"1559","1031",1,30,51.2
1843,"1490","1287",0.985,30,51.1
1844,"1415","1040",0.999,30,28.1
1845,"1685","1608",0.649,30,81
1846,"1244","1213",0.998,30,50
1847,"1763","1287",1,30,2
1848,"1059","1666",0.994,30,18
1849,"601","506",0.999,30,116
1850,"601","506",1,30,116
1851,"1195","1045",1,41,63
1852,"1247","1287",0.527,30,17
1853,"1771","1187",1,30,3.1
1854,"1771","1187",1,30,3.1
1855,"442","1543",1,30,30.1
1856,"1753","1349",1,30,12
1857,"1753","1349",1,30,12
1858,"825","1611",1,30,24
1861,NA,NA,0.616,17,16
1864,"1503","1209",1,30,23
1865,"458","1268",0.956,30,9
1866,"1409","1209",0.999,30,11
1867,"1674","1029",1,30,30.2
1868,"1384","1553",0.999,30,36
1869,"832","1604",1,30,56
1870,"1892","1754",0.928,30,55
1871,"1401","1524",1,30,85
1872,"1612","1199",0.442,30,75
1873,"1550","1724",1,31,20
1874,"1669","1213",1,30,47.1
1876,NA,"1268",0.843,30,5
1877,"1893","1524",0.998,30,64
1878,"862","1524",0.891,40,60.1
1879,"1501","1606",1,30,22
1881,"1155","453",1,30,112
1882,"639","1610",1,30,101.1
1883,"1275","1587",1,30,96
1884,"1580","1512",0.962,30,76
1885,"1024","1412",1,30,87
1886,"1517","544",0.948,41,103.1
1887,"1429","1759",1,30,92
1888,"2987","1676",0.863,30,37
1889,"1170","1609",0.997,30,64
1890,"1735","1381",1,30,73
1891,"1541","509",1,41,87
1892,"832","1534",1,40,56
1893,"1403","849",0.964,40,69
1894,"503","1214",1,41,25
1895,"912","1348",1,30,1
1896,"1305","1595",1,30,47
1897,"927","501",0.998,30,1.1
2959,"919","510",1,30,86
2960,"1369","1744",0.999,30,43
2962,"1763","1287",1,32,2
2963,"1672","1533",1,31,67
2964,"1559","1435",0.998,41,51.2
2965,"1559","1031",1,31,51.2
2966,"1605","497",0.979,31,5
2967,"1800","1572",0.999,31,39
2968,"459","176",1,30,39
2969,"1781","1395",1,31,117
2970,"1437","634",1,30,59
2971,"1612","1199",1,31,75
2972,"1042","176",0.999,30,46
2973,NA,"544",0.991,31,103.1
2974,"1024","1412",1,31,87
2975,"1532","911",0.964,31,3
2976,"1380",NA,0.724,30,84
2977,"1717","1196",0.999,31,62
2978,"1892","1356",1,30,55
2979,"1674","1543",1,31,30.2
2980,"1758","1695",0.846,31,32.5
2981,"1888","1695",0.909,31,37
2982,"1491","1604",0.997,30,57.1
2983,"1672","1533",1,30,67
2984,"1589","929",1,30,10
2985,"1765","921",1,31,33
2986,"869","453",0.984,31,48
2987,"308","1368",0.98,41,37
2988,"930","1485",1,31,7
2989,NA,"1767",0.983,31,21
2990,"1042","453",0.999,32,46
2991,"832","1435",1,31,56
3000,"1735","1381",1,32,73
3001,"1725","1610",0.968,32,101.1
3002,"1782","1495",0.997,30,49
3003,"1247","1795",0.987,32,17
3004,"1193","1590",1,32,33.1
3005,"1437","1579",0.962,34,59
3006,"1170","1871",1,34,64
3008,"1605","2966",0.816,34,5
3009,"1705","1750",1,34,1
3010,"1740","1729",1,34,15
3011,"1401","1788",1,34,85
3012,"1247","1287",1,34,17
3013,"595","1499",1,34,6
3014,"503","1214",1,34,25
3015,"1510","1723",0.999,34,18
3016,"1589","1029",0.999,34,10
3017,"1415","1018",0.954,34,28.1
3018,"1854","1029",1,34,30.2
3019,"1042","453",0.907,34,46
3020,"1772","1729",1,34,15
3021,"1558","1699",1,34,46.5
3022,"1760","2972",1,31,83
3023,"1605","1485",0.999,34,5
3024,"1791","1509",1,34,4
3085,"1763","1287",1,34,2
3086,"1536","1787",0.764,34,26.5
3087,"1753","1775",1,34,11
3088,"1429","1886",1,35,92
3089,"1617","1610",0.999,35,94.2
3090,"1362","1509",1,32,4
3091,"1665","1623",1,35,79
3092,"1892","1356",0.999,35,55
3093,"1852","1358",1,35,52
3094,"1891","1523",1,34,87.1
3095,"3022","1492",1,34,110
3444,"1764","1711",1,35,29
3445,"1605","497",1,37,5
3446,NA,"1702",0.329,37,29
3447,"1501","1773",1,37,22
3448,"2984","501",1,37,1.1
3449,"1614","1767",1,37,6.5
3450,"1506","1720",1,37,19
3451,"2987","1739",0.994,37,37
3452,"1361","1553",1,37,35
3453,"1563","510",1,34,40
3454,"2978","1196",0.999,34,58
3455,"1697","1796",1,37,62.1
3456,"1580","1512",0.998,34,76
3457,"1717","1797",0.996,37,62
3458,NA,"1610",0.969,35,103.1
3459,"1275","1610",1,37,96
3460,"1725","1587",0.999,37,101.1
3461,"1403","1533",1,37,69
3462,"1403","1533",1,37,69
3463,"1778","1607",0.999,34,8
3464,"1778","1607",1,34,8
3486,"1705","1187",1,37,1
3487,"1043","1412",1,30,108
3488,"1024","1412",1,35,87
3489,"1503","1606",1,35,23
3490,"1501","1773",1,35,22
3491,"1605","497",1,37,5
3492,"1532","911",0.921,35,3
3497,"1705","1750",1,37,1
3498,"2985","1752",1,37,33
3499,"1716","2976",1,37,116
3500,"2987","1739",1,37,37
3501,"1437","1623",1,37,59
3502,"1895","1754",1,37,54
3503,"1536","1787",1,37,26.5
3504,"930","1485",1,37,7
3505,"1580","1040",0.998,37,76
3506,"1559","1165",1,37,17
3507,"1760","2972",1,34,83
3508,"1597","1794",0.998,34,92.1
3509,"3508","1171",1,37,94
3510,"1415","1566",0.998,37,28.1
3511,"1195","1579",1,37,63
3512,"1042","1590",1,37,46
3513,"1042","453",0.827,37,46
3514,"1821","1504",0.993,37,38
3515,"1369","1744",0.999,37,43
3516,"1790","1731",1,37,78
3517,"1828","1848",1,37,20
3518,NA,"1773",0.59,37,22
3519,NA,"1773",1,37,21
3520,"1388","1611",1,37,24
3521,"1415","1040",0.997,37,28.1
3564,"1685","1608",0.989,37,81
3565,"1782","1881",1,37,49
3566,"1491","1356",1,37,57.1
3567,"1757","1523",1,35,41.1
3568,"1782","1881",0.999,37,49
3569,"1763","1287",0.56,37,2
3570,"1779","1796",1,37,59.1
3571,"2975","1611",1,37,24
3572,"1506","1720",1,37,19
3573,"2975","1611",1,37,24
3574,"3090","1381",1,37,73
3575,"1824","1795",1,37,16
3576,"1864","1848",0.999,37,26
3577,"3022","1489",0.953,37,110
3578,"1685","1608",1,37,81
3579,"1536","1512",0.999,37,26.5
3580,"1854","1029",1,37,30.2
3581,"1200","1553",1,37,34.5
3590,"2963","1796",0.992,37,58
3591,"1532","911",0.984,37,3
3592,"2963","1533",1,37,58
3593,"1893","1871",0.963,37,64
3594,"1740","1187",1,37,3.1
3595,"1893","1871",0.98,37,64
3596,"1401","1877",1,37,85
3597,"1170","1579",0.999,37,64
3598,"1438","1708",1,37,66
3599,"1697","1196",0.941,37,62.1
3600,"1760","1829",1,37,83
3601,"1772","1729",0.974,37,15
3602,"1193","1590",1,37,33.1
3603,"1559","2960",1,37,17
3604,"1725","1587",1,37,101.1
3605,"1195","1871",0.995,37,63
3606,"3003","1710",1,37,122
3607,"2984","2960",1,37,1.1
3608,"1705","1750",1,37,1
3611,"3508","1171",1,37,94
3612,"3009","1742",1,37,50
3613,"3508","1171",1,37,94
3614,"1757","1831",1,37,41.1
3615,"1857","1606",1,37,22
3616,"1763","1287",0.998,54,2
3617,"1827","1783",1,37,44
3618,"1369","1744",1,35,43
3619,"1429","1886",1,37,92
3641,"919","1616",1,37,86
3642,"1891","510",1,37,87.1
3643,"1665","1623",1,37,79
3644,"1580","1766",1,37,76
3645,"1576","1512",1,37,77.1
3646,"1790","2964",1,37,78
3647,"2989","1731",1,37,51.2
3648,"1851","1199",1,37,75
3649,"1821","1504",1,37,38
3650,"1781","1512",0.982,37,117
3651,"1678","1412",0.992,37,88
3652,"1024","1616",1,37,87
3653,"1891","1523",0.988,37,87.1
3688,"1791","1509",1,37,4
3689,"1605","911",0.999,37,5
3690,"1589","929",0.989,37,10
3691,"1043","1412",1,37,108
3692,"1672","1533",1,37,67
3694,NA,"1395",0.903,35,84
3695,"1437","1623",1,37,59
3696,NA,NA,0.38,35,42
3697,"1753","1606",1,37,11
3698,"3003","1566",1,35,17
3699,"2968","1769",1,37,39
3700,"1678","1412",1,37,88
3701,"1043","1682",1,37,108
3702,"1716","1877",1,54,116
3741,NA,"501",0.478,21,1
3742,NA,"929",0.52,22,10
3745,"1218","544",0.979,22,103.1
3754,"840","495",0.999,22,15
3758,"925","922",0.984,22,2
3761,"1235","1039",1,22,21
3766,"500","494",1,22,29
3785,"827","176",0.905,22,46
3793,"1173","1041",1,22,53.1
3794,"853","634",0.891,22,54
3810,"530","637",0.997,22,72
3829,"675","846",1,22,88
3831,"1182","846",0.993,22,90
3840,"912","922",0.544,25,1
3844,"639","1028",0.68,25,101.1
3849,"1043","1276",1,25,108
3863,"925","837",1,23,2
3866,"925","837",1,25,2
3871,"169","890",0.779,25,22
3877,"524","1199",0.439,25,114
3931,"524","629",0.98,25,114
3944,"1190","1191",0.856,25,82.1
3946,"774","1198",0.999,25,82
3964,"1418","922",0.644,28,1
3976,"840","597",1,28,15
3986,"924","220",1,28,20
3987,"1246","609",1,28,23
3994,"1218","1199",0.533,28,27
4017,"447","176",0.999,28,38
4042,"522","1360",1,28,58
4057,"833","497",1,28,7
4064,NA,NA,0.317,28,8
4086,"938","1028",0.999,28,95
4194,"869","1495",1,30,48
4235,NA,"1794",1,30,94
4255,"454","44",0.572,19,32
4256,"878",NA,0.592,19,47.1
4257,"641",NA,0.645,21,72
4258,"825","602",0.506,21,24
4259,NA,"25",0.296,21,36
4260,"64","637",0.996,21,71
4261,NA,"1028",0.722,21,92
4262,"1043","1306",0.998,26,108
4266,"912","1750",1,34,1
4802,"1155","1808",1,54,112
4803,"1042","453",0.845,54,46
4804,"3487","1543",1,37,30.1
4805,"3487","1543",1,37,30.1
4829,"912","1750",1,75,1
4854,"1740","1187",1,75,3.1
4855,"1605","497",1,75,5
4860,"1821","1504",1,75,38
4861,"2989","1710",1,75,51.2
4862,"1717","1797",0.998,54,62
4863,"1429","1886",1,75,92
4866,"3002","1581",1,54,92.1
4867,"1798","2974",0.938,75,121
4868,"1559","1711",1,75,17
4870,"1536","1199",0.999,75,26.5
4871,"1805","1774",1,75,50.1
4872,"3698","1489",1,75,82.1
4873,"1510","1165",1,54,18
4874,"1763","2980",1,75,2
4875,"1857","1606",1,75,22
4876,"1415","1040",0.998,75,28.1
4877,"1503","1606",1,75,23
4878,NA,"1579",0.386,75,78
4879,"3003","1710",1,75,122
4880,"1042","453",0.994,75,46
4881,"1707","1604",0.999,54,52.1
4882,"3086","1702",1,75,2
4883,"1697","1722",1,75,62.1
4884,"1697","1722",1,75,62.1
4885,"1772","1729",1,75,15
4886,"2963","1709",0.998,75,58
4887,"1790","1731",0.674,75,78
4888,"1895","1754",1,75,54
4889,"1740","1187",1,75,3.1
4890,"1510","2966",1,75,18
4891,"1852","3093",1,75,52
4892,"3505","1774",0.999,75,50.1
4893,"845","1276",1,75,93
4894,"1244","2990",0.993,75,50
4895,"1419","1795",1,75,16
4896,"1779","1796",1,75,59.1
4897,"1824","1729",1,75,16
4898,"869","453",0.996,75,48
4899,"1782","453",0.996,75,49
4900,"1538","1808",0.999,75,45
4901,"1024","1616",1,75,87
4902,"1506","1767",1,75,19
4903,"1506","1499",1,75,19
4904,"1854","1029",0.992,75,30.2
4905,"1821","1504",0.998,75,38
4906,"1193","1881",0.555,75,33.1
4907,"3507","1587",1,75,96
4908,"1170","1524",1,75,64
4910,"3517","1593",1,75,111
4911,"3517","1593",1,75,111
4912,"2963","1196",1,75,58
4913,"2978","1722",1,75,58
4914,"1580","1542",1,75,76
4915,"2963","1196",0.996,75,58
4916,"1580","1542",0.999,75,76
4917,"1826","1499",0.997,75,6
4918,NA,"1579",1,75,117
4919,"1043","1682",1,75,108
4933,"3453","1699",1,75,43
4934,"3453","1699",1,75,43
4935,"1672","1797",0.999,75,67
4936,"1827","1783",1,75,44
4937,"1827","1744",0.999,75,44
4938,"1791","1509",1,75,4
4939,"1532","911",0.966,75,3
4940,"1501","3489",0.995,75,22
4941,"1415","1040",0.987,75,28.1
4942,"1753","1775",1,75,11
4943,"3490","3087",1,75,21
4944,"1872","1777",0.93,75,114
4945,"1803","1802",0.998,75,53
4946,NA,"1018",0.711,75,76
4947,NA,"1777",0.699,75,77
4948,"1437","1797",1,75,59
4949,"1491","1356",1,75,57.1
4950,"1491","1604",1,75,57.1
4951,"3567","1604",1,75,56
4952,"1437","1722",1,75,59
4953,"1789","1610",0.995,75,101
4954,"1672","1533",1,75,67
4955,"1598","3000",0.998,75,65
4956,"1685","1608",1,75,81
4957,"2982","1610",1,75,120
4958,"1172","1171",1,77,94.1
4959,"1893","1788",1,75,64
4960,"2968","1769",0.998,75,39
4961,"1361","1698",1,75,35
4962,"1760","1829",0.992,75,83
4963,"2968","1769",1,75,39
4964,"2959","1831",1,75,41
4965,"3094","1739",0.999,75,37
4966,"1559","1702",1,75,17
4967,"1501","3489",1,77,22
4968,"1503","1611",1,77,23
4969,"3500","2988",1,77,9
4970,"3487","1543",0.983,77,30.1
4971,"1669","1897",1,77,47.1
4972,"1155","1808",1,75,112
4973,"2968","1553",0.918,77,39
4974,"2968","1769",1,77,39
4999,"1757","1523",1,77,41.1
5000,"3002","1581",1,75,92.1
5008,"1803","1566",1,77,53
5009,"1778","1485",1,75,8
5071,"1532","1804",0.872,82,3
5072,"2985","1752",1,82,33
5073,"3446","4873",1,77,20
5074,"1765","3464",1,82,33
5075,"1305","453",1,77,47
5076,"1800","1769",1,82,39
5077,"3505","1742",0.995,82,50.1
5078,"1614","1767",1,77,6.5
5079,"1716","1579",1,75,116
5080,"2963","1796",0.936,82,58
5099,"1753","1775",1,77,11
5116,"563","1587",1,77,104
5117,"3002","1581",1,82,92.1
5118,"1717","1797",0.996,77,62
5119,"1580","1512",1,82,76
5120,"3569","3456",1,82,126
5121,"3698","1489",0.995,82,82.1
5122,"1043","1412",0.995,82,108
5123,"1042","1577",0.998,82,46
5125,"2985","1752",1,82,33
5126,"2985","1752",1,82,33
5127,"1826","1499",1,82,6
5128,"1789","1801",0.982,82,101
5129,"1789","1869",0.998,82,101
5130,"3090","3458",1,82,73
5131,"1193","2990",1,82,33.1
5132,"3698","3457",1,77,82.1
5133,NA,"1796",0.533,77,62.1
5134,"3085","1729",0.992,82,15
5135,"2963","1533",1,82,58
5136,"2963","1533",0.998,82,58
5137,"1776","2991",1,82,52.1
5138,"1532","911",1,82,3
5139,"3446","1787",1,82,20
5140,"1854","1029",1,82,30.2
5141,"3487","1543",0.826,82,30.1
5142,"3449","2962",1,82,19
5144,"3608","1553",1,82,34.5
5145,"1716","1774",0.981,82,116
5146,"3567","1604",0.998,82,56
5147,"3497","1611",1,82,24
5148,"1172","1171",1,82,94.1
5149,"1757","3617",1,82,41.1
5150,"1491","1604",0.999,82,57.1
5151,"1438","1708",0.999,82,66
5152,"1438","1708",1,82,66
5153,"4907","1171",0.627,82,96
5154,"3507","4953",0.999,82,96
5155,"1361","1698",1,82,35
5156,"1401","1788",0.999,82,85
5157,"1170","1877",0.995,82,64
5159,"1763","1702",1,82,2
5160,"1790","1731",1,82,78
5161,"1872","1777",0.996,82,114
5162,NA,"4918",0.996,77,117
5163,"1536","1787",0.995,82,26.5
5164,"1401","1877",0.999,82,85
5165,"1589","1762",0.889,82,10
5166,"930","3519",1,82,7
5167,"1605","497",1,82,5
5168,"3500","2988",0.918,82,9
5169,"3094","1739",0.999,82,37
5170,"2981","1868",1,82,32
5171,"1678","1412",1,82,88
5172,"3022","3696",1,82,42
5173,"845","3696",0.975,82,93
5174,"3650",NA,0.438,82,103.1
5175,"2978","1196",1,85,58
5194,"1419","1795",0.837,85,16
5195,"1740","1750",1,85,3.1
5196,"1605","1499",0.998,87,5
5197,"3085","1729",1,87,15
5198,"3462","3093",1,87,29
5199,"1763","1702",1,85,2
5204,"3569","3456",1,87,126
5205,"3604","1533",1,87,67
5209,"3616","3456",0.898,87,126
5210,"2989","1710",0.997,87,51.2
5212,"1895","1754",1,87,54
5213,"1491","1604",1,85,57.1
5215,"1865","1802",0.991,85,77
5216,"3595","3457",1,85,60.1
5217,"3596","1579",0.996,87,85
5220,"3517","1579",1,85,111
5224,"4878","1742",1,87,50
5225,"1438","1708",0.956,87,66
5226,"3574","4866",1,87,93
5235,"1669","1742",0.997,87,47.1
5236,"2985","1752",1,87,33
5237,"4896","2990",0.91,87,33.1
5240,"3699","1808",1,85,112
5241,"5162","1871",0.999,87,117
5242,"3698","1877",1,87,82.1
5247,"3608","1553",1,87,34.5
5248,"5162","1579",1,85,117
5249,"1782","1881",1,85,49
5254,"1678","1412",1,87,88
5256,"1195","1871",1,85,63
5260,"3491","1523",1,85,86
5261,"3641","3515",0.977,87,86
5262,"1821","1504",1,85,38
5263,"1824","3612",0.923,85,16
5265,"1790","1731",1,87,78
5266,"1170","1877",0.998,85,64
5267,"3518","3454",1,85,69
5268,"1438","1708",1,85,66
5269,"3451","1801",1,87,94
5271,"1614","4902",1,87,6.5
5272,"2968","1577",0.962,87,39
5273,"1536","4967",1,87,26.5
5275,"1803","1356",1,87,53
5276,"2963","1722",0.999,87,58
5277,"4965","1616",1,87,87
5278,"1558","1744",1,90,46.5
5279,"1361","1698",1,87,35
5280,"3505","3005",0.999,90,50.1
5281,"3451","1801",1,90,94
5282,"930","3519",1,87,7
5283,"1717","1533",1,90,62
5284,"3094","1739",0.996,90,37
5285,"3606","1394",1,87,68
5286,"1532","911",1,90,3
5287,"1491","1604",0.999,90,57.1
5288,"3606","1869",0.926,90,68
5289,"1791","1729",1,90,4
5290,"5079","1867",1,87,45
5291,"1043","3696",1,87,108
5292,"3022","1682",1,90,42
5293,"3022","3696",0.938,90,42
5294,"1757","1523",1,90,41.1
5312,"1854","1029",1,92,30.2
5313,"4964","1762",1,92,8
5314,"1821","1504",1,90,38
5315,"3449","4897",1,90,19
5316,"1824","4967",1,90,26.5
5317,"4973","1868",1,92,32.5
5318,"4878","5165",0.749,87,50
5319,"4868","1886",1,90,92
5320,"5263","1795",0.835,87,30.2
5321,"3453","1744",1,90,43
5322,"3453","1744",0.964,87,43
5323,"3002","1581",1,90,92.1
5324,"3002","1581",1,90,92.1
5325,"5075","5000",1,90,102
5326,"4935","3486",1,90,65
5327,"3086","4829",1,90,2
5332,"1605","5071",0.787,90,5
5333,"1857","3618",1,92,22
5334,"3596","1722",0.772,90,85
5335,"4896","2990",1,90,33.1
5336,"1042","1577",1,92,46
5337,"4936","1710",1,92,131
5338,"1798","2974",1,90,121
5339,"1826","1499",1,92,6
5340,"3491","5169",1,92,86
5341,"1854","1029",1,90,30.2
5342,"2989","4887",1,92,51.2
5343,"3086","1729",1,92,2
5418,"4871","4860",1,92,129
5447,"2989","1731",1,92,51.2
5448,"1753","4860",1,92,11
5449,"3604","1533",1,90,67
5450,"3490","3615",1,92,21
5451,NA,"5118",0.303,92,101
5452,"3695","1869",1,92,101
5453,"1763","1729",1,92,2
5454,"3462","3093",1,92,29
5455,"1765","1752",1,92,33
5456,"4958","4888",1,92,52.1
5457,"4883","3458",1,92,120
5458,"3574","4866",1,92,93
5459,"3606","1494",1,92,68
5460,"4871","4860",1,92,129
5461,"1438","1708",1,92,66
5462,"1532","911",1,92,3
5463,"3002","1886",1,92,92.1
5464,"4935","3486",1,92,65
5465,"3444","4887",1,92,78
5466,"3002","1886",0.999,92,92.1
5473,"2963","1196",1,85,58
5497,"1438","1708",1,92,66
5498,"4868","1886",0.997,92,92
5499,"3451","1801",1,103,94
5507,"3094","1553",0.999,92,37
